SentenceID,Formality,Sentence
3XT3KXP24YXIVSIHGXWWS6339N7I6Z,5.6,"Home minister P Chidambaram has said Naxalism has spread to 20 states with over 2,000 police station areas in 223 districts partially or substantially affected."
3J94SKDEKHO54D2HJ0LG939QLNOD5C,5.6,"Home ministry sources said around 40,000 paramilitary personnel will assist the respective state police forces during the operations that will be launched soon."
39O6Z4JLX1W00DMDGR45786HET2XV5,4.6,"Home sales have climbed in recent months, propelled in part by an $8,000 tax credit for first-time buyers that's set to expire at the end of this month."
3GMLHYZ0LDWPN3NNGXG2U0B72SNUYJ,2.4,"honestly though, park in one spot and keep it all day."
37MQ8Z1JQDVG3RELXD6WOHGFJ142Y9,4.6,"""Hopefully a wise eye will see that this is not a case that they want in the public eye and Mr. Chaudhry will remain in the country he loves."""
31N9JPQXIOHQ6IDP9W0SU5OA40HNHL,2.2,"Hopefully, I have given enough information that someone can help me."
3P4ZBJFX2U2WFGVX673FN3POHX8FW6,2.4,Hopefully someone else will have some helpful advice.
3EAWOID6MSWS3NG2DFFYYUJ64MHV08,3.6,"""Hopefully, we will get a break at some point, and somebody will do the right thing."""
3P7QK0GJ3SKG8HOQTZ8F2OPHPV82Z0,2.6,Hope I was of help
3GV1I4SEO8OKLTQN10T9KMVVQR1L6G,2.4,"Hope that helps,  Dan"
37M4O367VIH8878UWTKJSTWKU1H5MN,1.6,Hope this helps!
3CMIQF80GMPVCQ60T51518UP0XOQ6A,2.0,Hope this helps.
3R0WOCG21L8MPSSWK1TOHF16K4IDUV,1.8,Hope this helps you.
3ULIZ0H1V94BCIM5371L818HWQL51E,1.0,Hope this is what you were trying to accomplish =]
3OKP4QVBP1W5M3OPGMD5NZS9QT5AGP,1.6,Hope this would help.
3EPG8DX9LJPETA57O9CB9XQFZ6S5PJ,2.2,Hope to see you this summer.
3VGET1QSZZYJ0NGROO53ZBC7J9P7WU,2.6,Hope you have fun and write back about your trip.
3UQ1LLR2697L8V2QRDAL0RXHMARLA6,1.4,Hoping to do the same again in a couple of weeks.
31MBOZ6PANQ91AZOBR6C6MN5MDCLC8,3.4,hopstop.com  estimates $4.80
3RBI0I35XD25O9A41DK17RL7PF3Y3F,5.2,"Host Chris Wallace traveled to Palm Beach, Florida to record the interview with Limbaugh today."
39XCQ6V3KX36J4N29DD23XZY41156C,3.0,Hotels in Manhattan are also pricey; it is much more reasonable to stay in the suburbs if you don't mind a short commute.
3BO3NEOQMZGJIUUK6AD88B5P56XIAP,2.8,"Hotsync with USB works great, but not with bluetooth."
3XDSWAMB21RKS7F13WE8N8MZWJZQC2,6.4,"House Speaker Michael Madigan, Senate President John Cullerton and Quinn, all three Chicago Democrats, reached a deal with reform groups who helped sink a version of the bill that Quinn vetoed in August."
3OPLMF3EU4MSSEWF0HFQMXHHLHQNLS,4.2,"House Speaker Nancy Pelosi promises to ram it through quickly, exhibiting a disdain for her countrymen that makes Marie Antoinette look like a populist."
31D0ZWOD09Y8BZD42KO2275TJCH0AD,5.6,"Houston has seen impressive car collections before, including those of shopping center developer Jerry Moore, auto dealer Sterling McCall and former Shell Oil CEO John Bookout."
3SD15I2WD1T35P0YVUP9O01EQ5B36L,5.6,"Houstonians also were pleased with Bill White's tenure as mayor, so they may not feel a sense of crisis about his replacement, Murray said."
375VMB7D4IIHG1XWQK4AYCDVQ9UIDR,1.6,How about cdrecord from the terminal?
37G6BXQPLPKZP5ZFZNK3DWM2HVCQEV,2.2,"How about right-clicking on the item, BUT select 'Others' option at the bottom of pop-up menu?"
37SDSEDIN81UZ057158OKLI8YGM81J,2.0,How about stopping by Storm King Art Center (sculpture) or Dia: Beacon (modern art museum) or West Point Military Academy or Bear Mountain?
3INZSNUD8ZPO504TMQYXLJES7J7D93,1.8,How blessed am I?
3NZ1E5QA6Y0CPG4X54UAEDLQI2C5BX,3.4,How can I be sure these parameters are correct?
3YCT0L9OML8FWRR5KQCRYJVCDBYNS6,4.6,"""How dare he ...he has committed an pardonable sin and must own it up,"" he told TOI."
38VTL6WC49C82OX8FW8UMOJR3BV5YD,2.4,How did you do your update?
3IHWR4LC7CC5Z6159CTUCKZUFIY8IC,2.8,How difficult is crossing the border?
3EKTG13IZT2MAWBFOG0Q9ISHGRGLMQ,4.2,How does the media industry survive such a coming disruption?
3L4YG5VW9MR08QHAY63Z7FXIY4MDDK,1.6,How do I activate it?
3H1C3QRA00IVV4PWU5J8TRXLDGCECF,2.6,How do I - if possible - sort this out?
3IJ95K7NDWBC6MIEPQIA95C9P05GNG,2.0,How do I use the script for sdparm (sorry i am a newbie to this)?
31ODACBENTE0ZO4X0I482DQHIMLSQY,1.8,How do you do that?
36MUZ9VAE5150WVAU1EJDXF3YGOEDF,1.8,How'd the casting coup come about?
3LN50BUKPUASVZ8SGWSIQMMCLWRLPM,1.6,Howecome I need sudo to unmount the drive?
37J05LC5AWIDBCH282PAADSV3OKJD5,6.2,"However, Abbas spokesman Nabil Abu Rdainah, speaking from Abu Dhabi where Abbas met Clinton earlier on Saturday, said there could be no change in the Palestinian position:"
3K1H3NEY7KY3KAR10W47D00FBW2DGU,4.6,"However after foolishly telling synaptic to upgrade to the latest edgy (6.10) packages out there, the PB 15"" will no longer sleep when Gnome is running."
3OREP8RUT1AA5DTHM0D1IACF8BQGBQ,5.2,"However, after meeting with Netanyahu and Abbas in New York last month, President Obama softened his language on a settlement ""freeze,"" saying that Israel has had meaningful discussions about ""restraining"" settlement activity."
3L55D8AUF9WT196NU6V20UP1VSGYCD,5.6,"However, any attempt to continue using the London courts to recover the cash could prompt further outrage in Belize and place Ashcroft in an uncomfortable light in the run-up to the general election."
3XEDXEGFX2NENCMQEB1RWL8POOB0KS,5.4,"However, as Netflix has partnered with Web-tethered DVRs, Blu-ray players, and video-game console makers, the service has made its way into the more practical living room setting."
335HHSX8CC4HK6MCK2MPY0CGQWFDHT,5.4,"However, as Winston Churchill once said, Democracy can be a fickle employer, and the road to public office is not always a smooth one."
37VE3DA4YTGO59OS66VJ3AOGNB4BHL,4.8,"However, Baloi would not say exactly when the summit would be held."
31JUPBOORM37P79BUFQ740RMWMS8LQ,4.2,"However, for Firefox version 2 in Kubuntu 8.04, you have to change those two lines to read:"
3VGZ74AYTFFTFILN009WTUIXQWQGCX,5.2,"However, he is expected to hand over more of his 'frontline' duty of daily Press briefings to the new head of news, Vickie Sheriff, a former aide to Jack Straw."
3FHTJGYT8MZC97UR55V2DUH4PF6GPC,4.8,"However, if a portion of the experience is derived thorough an integration with a Web component that will yield additional value in functionality or social elements, then it will be more sustainable."
3N2YPY1GI5XRUDVWLMEDJJLAYNRVEU,4.0,"However, if you install the official OpenOffice from openoffice.org, everything works as expected with no bug."
3D0LPO3EAAYUAY3QKB4TVUJIK77OYA,2.8,HOWEVER< if you stop then start the connection after a few seconds it works like a charm!
3FO95NVK5BZ0BPJXDXT8730ME8NSRZ,3.2,"However, in my xorg.conf file, there is no such a section at all."
3QTFNPMJC5HCX3DJFI6ZUCSF0QYNZB,2.0,however i wish there was more instrunction on what to do...
35YHTYFL1F2J0RVSGXYJ116AAO6VFC,5.2,"However, later that afternoon, at a news conference dealing with the spill, Newsom gave a hint of what was to come when asked whether he was going to be in San Francisco for the weekend."
375VMB7D4IIHG1XWQK4AYCDVQ9UDIM,4.8,"""However many documents I piece together, it'll never cease to amaze and shock me the extent to which friends, colleagues, even husbands and wives, went to betray each other. It shows you what a poison regime it was,"" she says."
3LVTFB9DE4HX9JV65IARDZ7EUBSGQ3,6.0,"However, most of the increase is accounted for by debt interest and social security payments, while capital investment in housing and public services would fall in real terms."
35JDMRECC388CG51WRFRJII0B83GEQ,3.6,"However, my iBook G4 has been fairly reliable."
3ZRKL6Z1E729MZAJXMZW8ZMFCZDGSS,5.4,"However, neither electoral nor the constitution specifically address the issue of a candidate who does not formally withdraw but urges supporters to boycott the polls."
3R4QIDVOJOBAS29AQWP3JFXOYSPEE8,5.2,"However, neither of the files noted are missing from /usr/lib/xorg/modules."
3NI0WFPPI8F7OX11C77QM237NTR60T,6.4,"However, Obama signed into law legislation Congress passed barring the release of any detainees from Guantanamo into the United States."
3UYRNV2KISYXD7CW6S6MHSVB1HS8NS,5.2,"However, Phil Willis, the Liberal Democrat MP who chairs the Commons Science and Technology Committee, said: 'The message is that it's only OK for scientists to give independent scientific advice when it is in line with Government policy. This is a very retrograde step. I'm not surprised there are colleagues considering their position.'"
3S1WOPCJFFSI3IV24X0UGVAG30LJEY,1.8,"However, powering down the device, I have no idea."
304QEQWKZOJXD375C3TK32PY8TKO0Z,4.2,"However, Qian's road home was not smooth."
3VMV5CHJZ7EA1ZNYMM4MI4I1EIRGTH,5.4,"However, senior No 10 sources have revealed that Brown believes Miliband is ideally qualified for the job and is actively supporting his candidacy behind the scenes."
3CVBMEMMXAF13XL2TPJ3Y82K4MKH7E,3.2,"However, the command: btlaunchmanycurses --tracker-proxy 127.0.0.1:8118 <directory> (i used /tmp as the dir) does not seem to work or not seem to be supported by BitTorrent."
32PT7WK7DLE2QYFD5HXNU6B67RY3DD,5.4,"However, the former prime minister's hopes of securing the presidency have faded, following statements by Germany and France indicating they will not back him."
3ZQX1VYFTC4FVSC8776ZWHVGRRX8O7,5.4,"However, the president did not address growing speculation that his son, Gamal, is being groomed to succeed him."
3511RHPADUDD7CO7TOW7VHMRMEFLRE,4.8,"However, the proposals have caused alarm among Treasury officials who fear any increased spending could upset the financial markets, making it harder to service the growing national debt."
3ZQA3IO31AQXKSSN8MXKH788DLQO12,4.6,"However, there is one point that is not clear..."
35JDMRECC388CG51WRFRJII0B84EGP,6.2,"However, the studio has no way of knowing if its expectations are borne out by the statistics."
3RWB1RTQDIMXGSO9M7JELH061WT8PO,3.0,"However, they do remember the twin towers and the pictures we took in front of the buildings."
3XABXM4AJ04IG4POMKY3LMQG6SF8QF,5.4,"However, this denial of interest hasn't quite reached the international media who have since touted his name among the top list of contenders for the job, including former British Prime Minister Tony Blair and Luxembourg Prime Minister Jean-Claude Juncker."
31HLTCK4BKUPERRNRH41JM6MB36VGB,4.4,"However, this discount coupon expires at midnight (Oct. 31) and is unlikely return until some time next year."
3KLL7H3EGC03ENMYBNMJ4MINQ3JVHA,5.2,"However, Tony Blair and Tony Blair Associates have never done any work on behalf of Tesco."
3OND0WXMHVEMCC0CGXX94IU1Q8HEHO,5.8,"However, US Secretary of State Hillary Clinton said a runoff with only one candidate would not necessarily threaten the legitimacy of the process."
3M4KL7H8KUM7VMMJ8QBQ07MHSLX61W,4.6,"However, Vaz, one of Labour's most influential MPs, also appeared to have concerns about the nature of Nutt's sacking."
3JY0Q5X05I56WU1S2M5FJL3COOIGG7,5.8,"""However, were there to be a stimulus the government would have to be even more convincing to voters and the financial markets that they have credible plans to repair the public finances in the longer term."""
3LAZVA75NHQ49DAJRQXYMQID5R4O2J,2.8,"How he scares people : ""It's more like a creepy scary in the cages or shaking a cage."""
3QXFBUZ4ZJFP1C2NMRUWN043XWYGU8,2.6,"How he scares people : ""Sometimes I stand like a statue and then I jump out, stomp my feet and roar and I say disturbing things."""
3SNR5F7R91SM87BWMFFU4UVGQLWEIH,2.4,How long does it take to get to/from the airport to the hotel?
3N7PQ0KLI4O7I4TD1C870OTR73Z3E6,1.8,How long is it going to take me at 6am to get from Port Authority to Rockefeller Center on a Friday Morning with a taxi???
3LOJFQ4BOWE8MWNKQNPMBSS8IDJDKX,2.8,How much do you have?
3538U0YQ1ETZOIT9WNSDI6ERJ4E3FO,2.8,"How she scares people : ""I'll shake a dismembered foot ... and laugh."""
34HEO7RUG5TWBTX3WX7HM36GS2GARL,1.8,"How she scares people: ""We're just here to ... spin fire."""
3OLZC0DJ8IE3AIXIH5444YJ2QGYVI3,3.2,"""How slow everybody learns in a war. Nobody knows anything about a war until it begins. Just two years before, the Polish air force had been blown to hell on the ground. The French caught it the following spring. In spite of that, the same things happened to our planes at Pearl Harbor. And yet two days later, in spite of all of it, the Japs catch our air corps on Luzon with its pants down. Only that wasn't the end. Months later, on my way out through Australia, I pass a big American field, and there they are, bombers and fighters parked in orderly rows, wing tip to wing tip. 'Hell,' they told me, 'The Japs are hundreds of miles away.' Except that's where they're always supposed to be when they catch you with your pants down, and I thought to myself, Jesus Christ, won't these guys ever learn?"""
3SA4EMRVJU1FY3J6R36ZS2UOIYH0PT,1.4,How to I tell it do find it there?
3UXQ63NLA9LQR57IXRAHV2HN4SDBLS,4.4,How was it that scripts could be added into nautilus and make them run by right-clicking and selecting them?
34D9ZRXCYQT8C8XGBM7MCDBCE4ZAS9,2.4,how were the people in your apartments with you?
308KJXFUJQ59R8AV0MCCMI7YGNDATY,2.2,how were your superiors?
3OZ4VAIBEWEZ5THOZNP4GZY23VNVJF,1.0,HTH.
31SIZS5W58EOY94KLT43C3LLWK2QR8,2.2,HTH A
3D42WVSDH7U04LQXL8L380A4S58YFO,2.2,"http://www.imendio.com/projects/jamboree/ I found this too, a 'lightweight' indexing mp3 itunes-like prog for Gnome"
31MCUE39BJL52IP477YV0RE3KJE3GN,5.0,"Hubbard doesn't deny Salem offers better business opportunities, particularly around Halloween."
39HYCOOPKNK3CKNNBZ22Q5KC7IEDM2,1.4,Hubby and I will have 3 y/o child with us and would like a good sized room with living space if possible.
39N6W9XWRCM6ILMSWSRLQLAGTK8YGN,5.0,Hubel had missed the last two games with a knee injury that Johnson noted still appeared to affect his productivity.
38O9DZ0A61MEK74FRUB45QWMKRB62D,2.6,HuffPo readers are nothing if not the types who will willingly outsmart themselves.
3SD15I2WD1T35P0YVUP9O01EQ5B63O,4.8,"Hughes had a career game starting in place of Armando Allen Jr., who has been bothered by a right ankle he sprained a month ago."
3W3RSPVVGRQ5N4GOXIRC0S9BTDJLUI,1.0,"hum i dunno i was thinking pumount was syncing the harddrive , but i will add that in the script thanks !"
3KQC8JMJGBRJ2EKFRDGDLRQ4ZJR3HM,4.4,Hundreds of thousands of votes were discounted from August's first round of voting.
324N5FAHSWAUGDN6H8PGHEYFIKNVKE,4.6,"Hurricane Ike, for example, was such a destructive storm because it was so large and had a massive storm surge, yet its intensity was only that of a Category 2 hurricane."
3OQQD2WO8H5JY9VZXVYYL3RJZW63IF,5.6,Hybrid media packaging with both files and an application layer in the cloud is core to a lucrative future.
3S1WOPCJFFSI3IV24X0UGVAG30LEJT,5.0,"""I actually think it might be an untenable position,"" Nutt said of the chairmanship."
36QZ6V1588CSRHBEHRODCEN6L7RSU3,2.0,"(i added a usb stick with a unique symlink in dev and all of that still happened though the wdp-script was running and the rule for the usb-stick was lower on priority than the one for the harddrive/script. number 95 for wdp, 96 for the usbstick)"
3SU800BH85RGE1W1PNZ8HE853J6QUC,1.4,I also changed my /etc/bluetooth/hcid.conf to change my password and still no luck.
33EEIIWHK66GRGL1UD9DD0AOHQFQV1,2.8,I also enjoyed the Fly Creek Mill.
3S4TINXCCZMYXQAFAJQ9NJLHZXIBO9,2.0,I also get the 0x0305 error
3I7SHAD35LVNVBMDKMZGQDAGL7CM7J,4.2,"I also have an HP DeskJet 5850 network printer -- it worked fine in Debian Sarge, but I have not been able to get it working properly in Ubuntu Breezy."
3H5TOKO3D8IONLJ2V8USY5TK457649,3.2,I also have a WD drive (though mine is a 250GB My Book).
3LN3BXKGCZU2TGRSHR9X5OP0IC9GW7,3.4,I also have the Thinkpad T40 and PRO/Wireless Lan 2100 3B Mini PCI Adapter.
3CKVGCS3PF4CBVZYJKATN7ZZ5IO0S9,2.6,I also saw that some of the hotels charge $10.00 per day just to park.
3SR6AEG6W4SKIHH3GY93BLMH8KLYHM,2.6,I also tried compiz since it was already installed.
3AXFSPQOYPXA9WVYZ8K0YDVGF10JFG,2.6,"I also tried ""lspci"" that I found from a guide, but it didn't find any wireless device either."
38F60IALAFGDQVCD8KFJXCVL7120TY,2.2,I also tried using http://www.belutz.net/2007/05/14/pai...tooth-devices/ but that didn't help either.
366FYU4PTFODE21KMI06HAATIPLEKS,3.0,I always have a great time.
39XCQ6V3KX36J4N29DD23XZY41265E,2.8,I always power down on a power strip after shutdown.
371DNNCG431V8KHG3OSYQR13QZE8TT,4.0,I always right click the USB device in the Places list to execute the unmount.
37NXA7GVSS550J5O281HWEBU7KSVLH,3.2,I am also wondering if it is worth visiting Shelter Island for beaches.
3VIVIU06FJBKKV393D3DH20PZNMIM9,3.8,I am and have always been a proud Republican.
3AA88CN98O2BK7IBMJC0OD2901PYKQ,2.4,"I am another one of those newbies, so I do not know too much about what these commands are doing."
3O4VWC1GEV5FTKF5FDJYX46JCBV3JR,4.4,"I am changing the status of only three races; in each case, I gauge the likelihood of an opposition-party takeover to have become somewhat higher."
3HA5ODM5K9RS4W0EMHYI80PPZE0SVS,5.0,"I am considering Affinia Dumont, and the Emabassy Suites."
36GJS3V78UPGNWRTASQIGYVSGG0JGF,2.6,I am contemplating putting Ubuntu on my parents computer now that I am home that way they wont call me every week because something went wrong.
35NNO802AUVQ2DO9FEIDUHPP4DWIN9,4.2,I am curious about which keyboard layout you're using.
31GN6YMHLOR5JL0JCR3EU2836N2SW2,3.0,I am currently in Cooperstown for a conference.
3PKJ68EHDMVUNSM4UY801Y7TVGDJHE,2.4,I am forced to reboot to reconnect.
3E24UO25QYPSRETKES91C3ZPLW6O60,2.8,"I am just wondering, are there still any sales for clothing in NY or any price reductions due to crises?"
31GECDVA9IL228NGEWN7V3DY0WD66U,3.4,"I am looking for a quiet, not necessarily ""family"" place to stay that will have easy access to Route 149 and the Fort Ann area."
3X4Q1O9UBGLBVE7PX2ETIHZLG7QO7Z,3.6,"I am not a political kind of person, but I know that helping this campaign is the right thing to do."
3ZQX1VYFTC4FVSC8776ZWHVGRRWO8M,3.0,"I am not sure but i think the extre 300bits are error correction codes, not sure if i could burn with 2048."
3QX22DUVONGP61N92K2WWRQJ7PIVMJ,3.2,I am not sure exactly what to enter in the connection field of the printer setup.
3LXX8KJXPV8F9XVICZCDWDQRBXEO9B,5.2,"""I am older,"" he said sternly."
3TKXBROM5S9UJNXO0GQL1A88VTSJI7,3.8,"I am on a Canadian cellular network, which provides an 'Install CD' with Windows drivers and a dialer component."
3FTID4TN8KXM4D0T7JO13DFOP1UYLT,2.4,I am running breezy on a acer aspire 1312LC which is reported running well on wiki.
302U8RURJY0VOJ89ELHW96FJCFSVNJ,4.4,I am running Hoary on a Pentium III 1GHz box with 512MB RAM and an nVidia GeForce2 GTS 64MB video card.
3YGE63DIN7W5ICG73PKUKW2KBVK0WO,2.0,I am running Ubuntu Edgy(6.10).
3Y3N5A7N4F86AVIE7VPG3QUDP6KYMV,2.2,I am sorry but as for a hotel I won't be of any help.
3BPP3MA3TBJOY8J27IC7WAN87PQELV,3.8,I am sorry for you.
3D06DR5224I5EDKBRPB004C6MFIMAA,3.4,"I am still a beginner with terminal command lines, so any guidance would be appreciated."
37NXA7GVSS550J5O281HWEBU7KSLV7,2.0,I am still so overwhelmed with the choices.
3D0LPO3EAAYUAY3QKB4TVUJIK6ZYOA,2.0,I am sure there are others.
344M16OZKHEEM8MNJVSM92RXCKQENX,4.0,I am sure Ubuntu will get around to fixing the problem.
35U0MRQMUI6D648LF0H9OVFO2PXVOY,5.4,I am trying to install through a root terminal.
329E6HTMSV1A44LNXYJAYJ6WR0V3KQ,3.2,I am trying to narrow down the hotels.
3OEWW2KGQIARCN8ZOFHFI99H2ITDOH,2.8,I am using a good cd (tested on another newr machine) based on 6.10 ppc iso.
33NOQL7T9NYRUWQF9GHGCF2KBV08Z9,3.4,I am using the NTFS Configuration Tool and it utilizesthe drives perfectly but doesn't allow me to change the mount point.
3D7VY91L64WAXNP3X3BWVFWC4X3MB5,2.6,I am wondering if people have recommendations for sights from DC to Fort Ticonderoga in NY?
3RTFSSG7T75IF85TSI6DIGU8ETULWH,4.4,"I answer the door and give out the candy, and Meade - growling, in a cyclops mask and big werewolf gloves - sneaks up behind me and grabs me."
3X0EMNLXEOOVR4KMU0UODVKECUTVPF,4.8,I assume 'gst' stands for gstreamer?
3QO7EE372NM1I2NVPWIDCOGHEY0BQH,2.2,I believe it if you take 4th or 5th treet down it will take you there.
3S4TINXCCZMYXQAFAJQ9NJLHZXHOBL,3.8,"I believe requests were trying to be sent through that communication instead of the Cardbus, so now I am posting with the GC89."
373L46LKP65LPINC0JBXEQNLNXHJKI,5.2,"""I believe that spiritual knowledge is given to us to share,"" said Lewis, co-founder of the Witch School."
3M47JKRKCW0P6M647BK5FH9P6R368G,5.2,"""I believe the people in Washington, and the overwhelming response that I've been getting nationally from individuals, is showing that a lot of people feel like it's time for the Republican Party to go back to its base."""
356ZPKYPUGGCVYFRZBH8KUO8UBVYPR,4.2,"I believe the problem is in the ""gnome-cups-manager"" package that is used via the Administration/Printing menu."
3CMV9YRYP20W9O5ULJNYTQ00CXMJLL,3.8,I believe you also have to start with a Linksys installation CD.
38B7Q9C28F4PKRPEC3QJFD40QXL695,2.0,I believe you need to run the program called beryl-manager
3KWGG5KP6I1T7SH9B37R6Z2UMI3MCC,6.4,"IBM, as a matter of policy, does not comment publicly on personnel decisions below the chief executive level."
39HYCOOPKNK3CKNNBZ22Q5KC7IFMDC,4.8,I.B.M. is getting a little more distance from the Galleon insider-trading case that broke earlier this month.
3R5LWXWHRZ7HIGWIRW5J7737REFGX0,5.6,"IBM (NYSE: IBM) sold its product lifecycle management software subsidiary for roughly $600 million in col,d hard cash."
3D0LPO3EAAYUAY3QKB4TVUJIK60OY1,5.8,"Icahn, 73, who says he's CIT largest bondholder with $2 billion of its debt, initially opposed CIT's plan, contending the investments were worth more in a traditional bankruptcy."
3PGQRAZX01J98QVJRSL2FZTJHV2SY1,5.2,Icahn also said he's changing the terms of the tender offer for bondholders who voted against the prepackaged bankruptcy.
3BKZLF990YYXVAG6ZOWXKZEIZ7HYQI,6.2,"Icahn Associates Corp. is the largest shareholder of American Railcar Industries Inc., which depended on CIT for 31 percent of its business as of June 30, according to data compiled by Bloomberg."
3PKVGQTFIGJX7BV6C3LXPPONVTJYRJ,5.6,"""Icahn had two goals in mind: Influence over the board and participation in the expansion loan facility,"" said Kevin Starke, an analyst at CRT Capital Group LLC in Stamford, Connecticut, said in a telephone interview."
371Q3BEXDG89DG5ONENLT62LNP6SZS,4.6,"Icahn is chairman of the St. Charles, Missouri-based railcar maker."
3FBEFUUYRJ43PAZJ494JB8FKWF36AK,4.4,"""I came to see what its like and I like it,"" said Seaman Recruit Tiffany Scarborough, a boatswain's mate from Paterson, N.J., who enlisted in February."
3VLL1PIENPNUFODVGX6C91SKQ04OZS,3.4,I can answer #2.
34KYK9TV2Q7DVI28H07I7OVIWMLBS6,5.8,"""I can assure we acted as quickly as possible as soon as we were notified,"" said Barry McFarland, incident commander with O'Brien's Group, the firm managing the cleanup on behalf of the Dubai Star."
3R868ACW4RB6NBWXSET44SJIZEDGZX,2.4,"I can eject it in several different audio apps and also by a shortcut assigned in System/Preferences/Keyboard Shortcuts, but can't close it unless I manually push in the tray."
31SIZS5W58EOY94KLT43C3LLWK3RQA,2.6,"I can live without it but if anyone has been able to get it to run on a Macbook pro 15"" Core Duo and wouldn't mind tossing me some pointers, I'd really appreciate."
3FVBZG9CLIDNLMLI8QYUJTSXW77H05,5.8,"""I cannot have public confusion between scientific advice and policy, and have therefore lost confidence in your ability to advise me as chair of the ACMD."""
3TZDZ3Y0JR5UD5OH6XE2KHDJIM591A,3.8,"I cannot press ctrl+alt+F1-6 to switch to a virtual console, which was working fine in 5.04."
30F94FBDNQJEAIFN60C8HTR4Y5ZBTV,2.2,"I cannot stand it happens again, otherwise I will be forced to go back to free-BSD"
386659BNTKGCHB0461V9R6CQFIB10Q,3.6,"I cannot think there is a clone in linux, but I believe there is some simple and essential!"
3DGDV62G7N8MUDMK6QADBQN3FW1P22,2.8,"I can open Impress, load a presentation, view a slideshow and do other stuff."
3T2EL38U0LJ8V5QWUSAV1L79X1NQX4,2.8,"I can right-click on one and select ""open with Scribus"" in the menu, but that's not very user-friendly."
3Q2T3FD0OM75USLQIAWQDWY0G5Q3MV,2.6,"I can say though that I and my wife regularly and successfully use ThotKeeper (she on Windows, me on both Windows and Ubuntu Linux)."
33EEIIWHK66GRGL1UD9DD0AOHQFVQ6,3.2,"I can see all the AP's in my area along with signal strengths in network manager, but I have to try over and over to get the system to connect to a network (it doesnt matter if its open or encrypted) and quite often when it does connect, I have no access to the internet."
3XBXDSS887IX48AJ2N2ZKZ8FNV0LXA,2.8,"""I can't believe that any independent-minded scientists would want to take it on. People will think, if you can't speak your mind and be honest about what you think, why take on the job? It might be that the council becomes unviable."""
36AZSFEYZ3ZTNAJCBVCNIBFPVQFBVB,2.0,I can't compare this program with others because I haven't used more.
3QGHA0EA0IZ62ZJH15HJ4DY32ZHBWL,1.8,I can't get xmms to play either.
307L9TDWJXRBCA6QUBBQQBN0LV03NV,1.8,"I can't help with the Finger Lakes, but Alpine Lake is nice (near Saratoga) http://www.alpinelakervresort.com/."
3VW0145YLXBGF6NFLVODT3FPC2CJMN,1.6,I can't imagine he isn't.
3EHVO81VN4KNSB60492UXYB71ZDH18,2.2,I cant see it from Moscow.
38F60IALAFGDQVCD8KFJXCVL711T0Q,2.2,I can't seem to find any switches to do this and whenever I select gl2 I just get:
3HEADTGN2ORG3H017SYDIQKTDCHVR7,2.4,I can't seem to find anything in any of the manuals for mplayer that cover how.
3TCFMTM8HDNJDL3ILOZNAU55CGV12A,3.4,I can't see the top of the cube.
3BJKPTD2QBB1QPWC2XYYH8W8GR2RTO,1.6,I can't use them though.
3D17ECOUODU8Y3Z1PODST4AXIUV13L,2.6,"""I carry a gun because they carry a gun."""
3CVDZS288GZ0A41J25XSE5NXJVVMFN,3.6,"I chat with my fans via Twitter, Facebook, matthewebel.com and matthewebel.net, and as many other channels as possible."
3D5G8J4N593TJWDTBH38I5LB1XEVTK,1.8,I checked avail. for a corner suite and already sold out for one night (planning to stay Wed thru Fri nights).
39WSF6KUV1KW4TMZKASZORR22UUOEL,1.8,"I checked for the ati xserrver and it say it doesn't exixsts, but in Synaptci is reported..."
3FTID4TN8KXM4D0T7JO13DFOP1ULYG,2.4,"i checked ""man yaboot"" and ""man yaboot.conf"" to see if there are parameters to enter to change the display settings (like with grub), but i couldnt find any."
3CO05SML7U40AGZL4VAOXXU3JG4R0B,2.2,I checked the Seneca Niagara website and was disappointed that I didn't find pix of the hotel rooms.
3WYZV0QBFICLRZO7BAD56WCAB1NBXE,4.2,I check /var/log/messages and I just see the line that the card couldn't register.
3M7OI89LVXNRIPWHON0AH358WIO6CM,4.0,"I click the Install button, nothing happens."
33J5JKFMK5XWF7JIA337U5I5Q6N3QI,3.2,I confirm I've always installed the official OOo version and never had any issue.
32TZXEA1OKJTGZI5P2IB3923WUR146,5.0,I continue to be of the opinion that conservative opponent Pat Toomey may have a relatively difficult time getting from the 43-45 percent of the electorate that he has now to the 50% + 1 that he'll need to take the contest.
38Z7YZ2SB21B5A11V6AUYBKU9OJIQW,3.6,I copy/pasted squinky's 3 files and did the pppd call tmobile but system log showed it running throught script ending with hang up and after a time it repeats.
38EHZ67RILR6O4XEDP3AWQN9KAVMGM,1.2,I couldn't get it to install tho.
3Z8UJEJOCYCQN82WT1SL8ASGG6J932,3.8,"I couldn't produce any of the characters that need the alt key, virtual consoles could not be switched, ctrl-alt-Fn produced strange characters or actions, etc."
3J06WJ78HMJ8WOHIGC3NJN9WYIUVV0,3.0,"""I couldn't really see much, but I heard this one lady constantly screaming,"" he said."
351S7I5UG8VMXO8FXW3D6I4PHSMJNN,3.2,"""I could see how stressed-out, middle-class housewives would single out cocaine to help them perform better at work, look after a family and house and still have the energy to party,"" he said."
3HEADTGN2ORG3H017SYDIQKTDCIRV4,3.0,"I created te script in the nautilus-scripts folder as there was no option ""File>scripts"" then ran the script in terminal and it worked perfectly but if I right click > scripts > unmount WD (my script) it does nothing???"
